VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,01-03-2016 00:00,01-03-2016 00:04,5,0.89,-73.99111176,40.72338104248047,1,N,-73.98262024,40.731239318847656,1,5,0.5,0.5,1.26,0,0.3,7.56
2,01-03-2016 00:00,01-03-2016 00:15,1,7.06,-73.91590118,40.76673889160156,1,N,-73.95974731,40.77202987670898,1,21.5,0.5,0.5,2,5.54,0.3,30.34
2,01-03-2016 00:00,01-03-2016 00:16,2,5.57,-74.0058136,40.717899322509766,1,N,-73.95327759,40.77154922485352,2,17.5,0.5,0.5,0,0,0.3,18.8
2,01-03-2016 00:00,01-03-2016 00:06,1,0.99,-73.98741913,40.76068878173828,1,N,-73.99150848,40.750091552734375,2,6,0.5,0.5,0,0,0.3,7.3
1,01-03-2016 00:00,01-03-2016 00:04,1,0.6,-73.98301697,40.74217987060546,1,N,-73.98646545,40.72703170776367,1,4.5,0.5,0.5,1,0,0.3,6.8
2,01-03-2016 00:00,01-03-2016 00:08,2,2.81,-73.96698761,40.76136016845703,1,N,-73.93946838,40.79051208496094,1,10,0.5,0.5,2.26,0,0.3,13.56
2,01-03-2016 00:00,01-03-2016 00:12,3,2.45,-73.98740387,40.721866607666016,1,N,-73.99153137,40.745853424072266,1,10.5,0.5,0.5,1,0,0.3,12.8
2,01-03-2016 00:00,01-03-2016 00:10,1,2.61,-73.97839355,40.75227355957031,1,N,-73.97775269,40.778823852539055,1,10.5,0.5,0.5,2,0,0.3,13.8
1,01-03-2016 00:00,01-03-2016 00:06,1,1,-73.97275543,40.755905151367195,1,N,-73.98736572,40.7563591,2,6,0.5,0.5,0,0,0.3,7.3
2,01-03-2016 00:00,01-03-2016 00:09,1,0.73,-74.65130615,40.60926055908203,1,N,-74.65130615,40.60926055908203,1,6.5,0.5,0.5,1,0,0.3,8.8
2,01-03-2016 00:00,01-03-2016 00:08,2,1.92,-73.9866333,40.741226196289055,1,N,-73.99603271,40.71889114379882,1,8.5,0.5,0.5,2.94,0,0.3,12.74
2,01-03-2016 00:00,01-03-2016 00:13,1,3.25,-73.98587799,40.74684143066406,1,N,-74.00724792,40.70756149291992,1,12,0.5,0.5,2,0,0.3,15.3
2,01-03-2016 00:00,01-03-2016 00:10,1,4.83,-73.97080994,40.751819610595696,1,N,-74.00531769,40.708961486816406,2,15.5,0.5,0.5,0,0,0.3,16.8
2,01-03-2016 00:00,01-03-2016 00:08,1,2.46,-73.97491455,40.76174545288086,1,N,-73.98908997,40.732303619384766,1,9.5,0.5,0.5,1,0,0.3,11.8
1,01-03-2016 00:00,01-03-2016 00:12,1,2.8,-73.97598267,40.760536193847656,1,N,-73.98314667,40.728172302246094,1,11.5,0.5,0.5,2,0,0.3,14.8
1,01-03-2016 00:00,01-03-2016 00:05,1,0.8,-73.97419739,40.75098801,1,N,-73.98958588,40.75673675537109,2,5.5,0.5,0.5,0,0,0.3,6.8
2,01-03-2016 00:00,01-03-2016 00:13,1,2.85,-73.95240784,40.81066131591797,1,N,-73.97737122,40.78435897827149,1,12,0.5,0.5,2.66,0,0.3,15.96
2,01-03-2016 00:00,01-03-2016 00:15,1,4.33,-73.95482635,40.78363037109375,1,N,-73.99717712,40.73490524291992,1,15,0.5,0.5,3.26,0,0.3,19.56
2,01-03-2016 00:00,01-03-2016 00:14,1,5.06,-73.97641754,40.785839080810554,1,N,-73.94049835,40.842960357666016,1,17,0.5,0.5,3.1,0,0.3,21.4
2,01-03-2016 00:00,01-03-2016 00:03,1,0.54,-73.95626068,40.80332946777344,1,N,-73.96305847,40.80189895629882,1,4.5,0.5,0.5,0,0,0.3,5.8
